id	base	meaning	level	business	elevated	register	usage	context	example	translation	answers	question	explanation	tag
phrase_look_into	look into	調査する	高校	look into / investigate	investigate	対象を調査する	look intoの後ろには問題や原因を置く。look atは見る・検討すること全般。	報告された障害を調査する。	We will ___ the issue.	本件を調査します。	look into|investigate	look intoとlook atの違いは何か。	look intoは調査、look atは見る・検討することを広く指す。	熟語
phrase_carry_out	carry out	実施する	高校	carry out / perform	conduct	作業を実施する	計画や検査を実施する。代名詞はcarry it outの語順。	必要な確認を実施する。	We will ___ the necessary checks.	必要な確認を実施します。	carry out|perform	carry out itと書けるか。	代名詞itは間に置き、carry it outとする。	熟語
phrase_in_addition_to	in addition to	～に加えて	高校	in addition to	-	名詞句をつなぐ	後ろには名詞や動名詞を置く。文をつなぐIn additionとは異なる。	メールに加えて電話で支援する。	___ email support, we offer telephone support.	メールでの支援に加え、電話でも支援します。	In addition to	in addition toの直後に主語と動詞を置けるか。	通常は名詞か動名詞を置く。文をつなぐ場合はIn addition, ...とする。	熟語
phrase_due_to	due to	～が原因で	高校	due to / because of	owing to	原因を示す	後ろに名詞句を置く。becauseの後ろには節を置く。	サーバー障害による遅延を説明する。	The delay was ___ a server failure.	遅延はサーバー障害が原因でした。	due to|because of	becauseとbecause ofの後ろの形の違いは何か。	becauseは主語と動詞を伴う節、because ofは名詞句を続ける。	熟語
phrase_look_forward_to	look forward to	～を楽しみに待つ	高校	look forward to	-	期待を述べる	このtoは前置詞。動詞を続ける場合は動名詞。	取引先と会うことへの期待を述べる。	We ___ meeting you.	お会いできることを楽しみにしております。	look forward to	look forward to meet youは正しいか。	toは前置詞なのでmeetingを用いる。	熟語
phrase_get_back_to	get back to	改めて連絡する	高校	get back to / respond to	-	後で応答する	期限を添えるといつ返答するのかが明確になる。	金曜日までに返答すると約束する。	We will ___ you by Friday.	金曜日までに改めてご連絡します。	get back to|respond to	get back to youは物理的に戻る意味だけか。	この場面では改めて連絡・返答する意味である。	熟語
phrase_as_soon_as	as soon as	～するとすぐに	高校	as soon as	-	時を表す節	未来の予定でも時の副詞節では通常現在形を使う。	結果を受領次第知らせる。	We will inform you ___ we receive the results.	結果を受け取り次第お知らせします。	as soon as	as soon as we will receiveとする必要があるか。	通常はas soon as we receiveとする。未来の出来事でも時の副詞節では現在形。	熟語
phrase_in_charge_of	in charge of	～を担当して	高校	in charge of / responsible for	-	担当と責任	be in charge ofの後ろに担当する対象を置く。	導入の担当者を尋ねる。	Who is ___ the installation?	導入の担当者はどなたですか。	in charge of|responsible for	in charge ofの後ろには何を置くか。	担当する業務や組織などを表す名詞句を置く。	熟語
pattern_could_you	Could you + 動詞の原形 ...?	～していただけますか	中学	Could you ...?	-	丁寧な依頼	Could youの後ろは動詞の原形を使う。	取引先へログを依頼する。	___ send us the logs?	ログをお送りいただけますか。	Could you	Could you sent us the logs? は適切か。	couldの後ろは原形sendを使う。	構文
pattern_would_appreciate	We would appreciate it if ...	～していただけると幸いである	高校	We would appreciate it if ...	-	丁寧な依頼	if節に依頼内容を置く。appreciate you to doとはしない。	日程の確認を丁寧に依頼する。	___ you could confirm the schedule.	日程をご確認いただけますと幸いです。	We would appreciate it if	We appreciate you to confirmは自然か。	We would appreciate it if you could confirm ...などとする。	構文
pattern_necessary	It is necessary to + 動詞の原形	～する必要がある	高校	It is necessary to ...	-	必要性を説明	形式主語itを置き、必要な行為をto不定詞で示す。	作業前のバックアップが必要だと述べる。	___ back up the data before proceeding.	作業前にデータをバックアップする必要があります。	It is necessary to	It is necessary backing upは適切か。	この構文ではto back upとする。Backing up the data is necessary.も可能。	構文
pattern_so_that	so that + 主語 + can ...	～できるように	高校	so that ... can ...	-	目的を説明	目的を表す節に主語と動詞を置く。	調査できるようログを依頼する。	Please send the logs ___ we can investigate the issue.	本件を調査できるようログをお送りください。	so that	このso thatは何を表すか。	ログ提供を依頼する目的を表す。we can investigateという節を続ける。	構文
pattern_unless	unless + 主語 + 動詞	～しない限り	高校	unless ...	-	例外条件	unlessは多くの場合if ... notに近い。否定を追加すると意味が変わる。	承認がなければ続行できないと伝える。	We cannot proceed ___ we receive approval.	承認を得ない限り続行できません。	unless	unless we do not receive approvalとしてよいか。	否定を追加すると条件が逆転する。意図を確認する必要がある。	構文
pattern_not_until	not ... until ...	～するまで…しない	高校	not ... until ...	-	開始時点を限定	ある時点まで動作を行わないことを表す。	確認が取れるまでは開始しない。	We will not start ___ we receive confirmation.	確認が取れるまでは開始しません。	until	not ... untilの意味を説明してください。	until以下の時点まで動作を行わない意味。確認を受けて初めて開始する条件。	構文
pattern_allow	allow + 人 + to + 動詞の原形	人が～できるようにする	高校	allow someone to ...	permit someone to ...	許可や機能	allowの後ろに人とto不定詞を置く。letではtoを置かない。	レポートを出力できる機能を説明する。	This feature ___ users to export reports.	この機能で利用者はレポートを出力できます。	allows|enables	allow users exportと書けるか。	allow users to exportとする。let users exportではtoは不要。	構文
pattern_whether	whether + 主語 + 動詞	～かどうか	高校	whether ...	-	間接疑問	間接疑問では平叙文の語順を使う。	サーバーの稼働確認を依頼する。	Please check ___ the server is running.	サーバーが稼働しているかご確認ください。	whether|if	Please check whether is the server running. の問題は何か。	間接疑問ではthe server is runningの語順にする。	構文
