id	base	meaning	level	business	elevated	register	usage	context	example	translation	answers	question	explanation	tag
sorry	sorry	申し訳ない	中学	apologize	apologize	正式な謝罪	I'm sorryも社外メールで使える。apologizeは動詞なのでbe動詞を付けない。責任を認めるかどうかは単語だけでは決まらない。	遅延について正式にお詫びする。	We ___ for the delay.	遅延についてお詫び申し上げます。	apologize	We are apologize for the delay. はなぜ不適切か。	apologizeは動詞なのでareは不要。We apologize for the delay. またはWe are sorry for the delay. とする。	社外メール
problem	problem	問題	中学	problem / issue	-	中立的な問題の表現	issueは問題のほか論点も指す。重大さだけでproblemとissueを機械的に使い分けない。どちらも社外メールで使用できる。	報告された事象を調査中と伝える。基本語とは別の自然な語を思い出す。	We are investigating this ___.	現在、この事象を調査しております。	issue	issueなら軽微な問題、problemなら重大な問題と断定できるか。	できない。issueも重大な障害に使える。重大性は影響や具体的な状況で伝える。	社外メール
improve	improve	改善する	中学	improve / enhance	enhance	品質・価値を高める	improveは広い改善。enhanceは品質・魅力・性能などを高める。enhanceも技術文書では普通に使う語である。	更新でセキュリティを強化する。	This update will ___ system security.	この更新はシステムのセキュリティを強化します。	enhance|improve	improveをすべてenhanceに置き換えられるか。	できない。例えば病状が改善する場合はimproveであり、enhanceにはしない。対象との組み合わせで判断する。	技術説明
idea_concept	idea	考え・提案	中学	idea / proposal（提案）	concept（概念）	抽象的な概念	conceptは概念や基本的な考え方。ideaより必ず体系的であるとは限らない。proposalは相手に検討してもらう提案。	権限管理の基本概念について述べる。	This feature is based on the ___ of role-based access control.	この機能はロールベースのアクセス制御の概念に基づいています。	concept	思いつきを述べるideaと、設計を説明するconceptはどう違うか。	ideaは考えや案を広く指す。conceptは基本概念に焦点がある。提案として提出するならproposalも使える。	技術説明
many	many	多くの	中学	many / numerous	numerous	やや文語的	manyも十分に正式な文章で使える。numerousは可算名詞の複数形を修飾する。numerous informationとはしない。	manyよりやや文語的な語で、多数のエラーを記述する。	___ errors were recorded in the log.	ログに多数のエラーが記録されました。	Numerous	多数の情報をnumerous informationと書けるか。	informationは不可算名詞なので不可。a large amount of informationなどを使う。numerous errorsなら適切である。	技術説明
show	show	示す	中学	show / demonstrate	demonstrate	証拠・実演で示す	demonstrateは結果で裏付ける、または実演する。画面に単に表示するならshowやdisplayが自然。	テストによって有効性を明確に示す。	These tests ___ the effectiveness of the method.	これらのテストは、その方法の有効性を示しています。	demonstrate	画面に時刻を表示するshowをdemonstrateにできるか。	通常はできない。表示はshowやdisplay。demonstrateは実演や証拠によって示す場合に使う。	技術説明
also	also	また・～も	中学	also / in addition	moreover	論説的な追加	moreoverは前の主張を補強する情報を加える。必ず前より重要だという意味ではない。alsoの位置にそのまま置けない場合がある。	費用に加えて時間も節約できると、論説的に補足する。	The system reduces costs. ___, it saves time.	そのシステムは費用を削減します。さらに、時間も節約できます。	Moreover|In addition	I also checked the settings. のalsoを同じ位置のmoreoverにできるか。	通常はしない。Moreover, I checked the settings. のように文全体をつなぐ。単純な追加ならalsoで自然である。	社外メール
buy	buy	買う	中学	purchase	purchase	正式な購入表現	purchaseは購入手続きや商取引に適する。buyも社外メールで使える。時間を稼ぐbuy timeなどの比喩は単純置換できない。	追加ライセンスの購入を案内する。	You can ___ an additional license.	追加ライセンスをご購入いただけます。	purchase|buy	buy timeのbuyをpurchaseに置き換えてよいか。	時間を稼ぐという慣用表現ではbuy timeが自然。purchaseは通常、物品や権利の購入に使う。	社外メール
use	use	使う	中学	use	employ（方法などを用いる）	簡潔な依頼	useは社外メールでも自然。exploitは資源の有効利用や弱点の悪用を意味し、丁寧なuseではない。utilizeを無理に使う必要もない。	ツールの使用を簡潔に依頼する。	Please ___ this tool to collect the logs.	ログの収集にはこのツールをご使用ください。	use	Please exploit this tool. を通常の使用依頼に勧められるか。	通常はuseが自然。exploitは最大限に利用するという意味や悪用・搾取の意味を持ち、単純な丁寧語ではない。	社外メール
new	new	新しい	中学	new / recent（最近の）	novel（新規性がある）	新規性・独創性	novelは単に新しく作られたのでなく、新規性や独創性があることを表す。contemporaryは現代の・同時代のという別の意味。	研究で新規性のある手法を提案する。	We propose a ___ approach to the problem.	私たちはその問題に対する新規性のある手法を提案します。	novel	新しく作成したファイルをa contemporary fileと呼べるか。	通常は呼ばない。a new fileとする。contemporaryは現代の・同時代の、novelは新規性のあるという意味である。	技術説明
